Time [s],Value,Parity Error,Framing Error
9.130497083333333,0x00,,Error
36.938073666666668,0x55,,
36.939115999999999,0x01,,
36.940158250000003,0x0C,,
36.941200500000001,0x00,,
36.942242833333331,0xFE,,
36.943389333333336,0x10,,
36.944431666666667,0x21,,
36.945473916666664,0xC2,,
36.946516250000002,0x00,,
36.947558500000000,0x00,,
36.948600833333330,0x00,,
36.949643083333335,0x04,,
36.950685333333332,0x50,,
36.951727666666663,0x03,,
36.952769916666668,0xFF,,
36.954020666666665,0xF8,,
36.955167250000002,0x7F,,
36.956209500000000,0xF9,,
36.963830500000000,0x01,,
36.964874666666667,0x12,,
36.965918583333334,0x00,,
36.966962500000001,0x10,,
36.968006416666668,0x21,,
36.969050333333335,0xFE,,
36.970094250000002,0x86,,
36.971138166666670,0x00,,
36.972182083333337,0x00,,
36.973225999999997,0x00,,
36.974269916666664,0x0A,,
36.975313833333331,0x50,,
36.976357833333331,0x03,,
36.977401749999999,0x00,,
36.978445666666666,0x00,,
36.979489583333333,0xFF,,
36.980533500000000,0xF8,,
36.981577416666667,0x00,,
36.982621333333334,0x00,,
36.983665250000001,0x00,,
36.984709166666669,0x09,,
36.985753083333336,0xD4,,
36.986797000000003,0x66,,
36.994461583333333,0x55,,
36.995503833333331,0x01,,
36.996650416666668,0x0A,,
36.997901166666665,0x00,,
36.998943416666670,0xFE,,
36.999985666666667,0x10,,
37.001027999999998,0x21,,
37.002070250000003,0xC2,,
37.003112583333333,0x00,,
37.004154833333331,0x10,,
37.005197166666669,0x21,,
37.006239416666666,0x00,,
37.007281749999997,0x02,,
37.008324000000002,0x10,,
37.009366333333332,0x30,,
37.010408583333330,0x02,,
37.011450916666668,0x7A,,
37.012493166666665,0x65,,
37.019784749999999,0x01,,
37.020828916666666,0x26,,
37.021872833333333,0x00,,
37.022916750000000,0x10,,
37.023960750000001,0x21,,
37.025004666666668,0xFE,,
37.026048583333335,0x86,,
37.027092500000002,0x00,,
37.028136416666669,0x10,,
37.029180333333336,0x21,,
37.030224250000003,0x00,,
37.031268166666663,0x1E,,
37.032312083333331,0x10,,
37.033355999999998,0x30,,
37.034399916666665,0x02,,
37.035443833333332,0x00,,
37.036487833333332,0x00,,
37.037531749999999,0x10,,
37.038575666666667,0x21,,
37.039619583333334,0x0F,,
37.040663500000001,0x06,,
37.041707416666668,0x00,,
37.042751333333335,0x2A,,
37.043795250000002,0xF8,,
37.044839166666669,0x23,,
37.045883083333337,0x28,,
37.046926999999997,0x03,,
37.047970916666664,0xE8,,
37.049014916666664,0x46,,
37.050058833333331,0x55,,
37.051102749999998,0x10,,
37.052146666666665,0x25,,
37.053190583333333,0x06,,
37.054234500000000,0x04,,
37.055278416666667,0x02,,
37.056322333333334,0x00,,
37.057366250000001,0x00,,
37.058410166666668,0x00,,
37.059454083333335,0x00,,
37.060498000000003,0x00,,
37.061542000000003,0x02,,
37.062585916666670,0x00,,
37.063629833333330,0x00,,
37.064673749999997,0x18,,
37.065717666666664,0x00,,
37.066761583333331,0x98,,
37.067805499999999,0x70,,
37.075760250000002,0x55,,
37.076802499999999,0x01,,
37.077844833333330,0x0A,,
37.078887083333335,0x00,,
37.079929416666666,0xFE,,
37.080971666666670,0x10,,
37.082013916666668,0x21,,
37.083056249999998,0xC2,,
37.084202750000003,0x00,,
37.085349250000000,0x02,,
37.086391583333331,0x00,,
37.087433833333336,0x02,,
37.088476166666666,0x10,,
37.089518416666664,0x30,,
37.090560750000002,0x02,,
37.091602999999999,0x3E,,
37.092645333333330,0x65,,
37.099958083333334,0x01,,
37.101002250000001,0x26,,
37.102046166666668,0x00,,
37.103090083333335,0x10,,
37.104134083333335,0x21,,
37.105178000000002,0xFE,,
37.106221916666669,0x86,,
37.107265833333337,0x00,,
37.108309749999997,0x02,,
37.109353666666664,0x00,,
37.110397583333331,0x1E,,
37.111441499999998,0x10,,
37.112485416666665,0x30,,
37.113529333333332,0x02,,
37.114573249999999,0x00,,
37.115617166666667,0x00,,
37.116661166666667,0x10,,
37.117705083333334,0x21,,
37.118749000000001,0x0F,,
37.119792916666668,0x06,,
37.120836833333335,0x00,,
37.121880750000003,0x2A,,
37.122924666666670,0xF8,,
37.123968583333337,0x23,,
37.125012499999997,0x28,,
37.126056416666664,0x03,,
37.127100333333331,0xE8,,
37.128144249999998,0x46,,
37.129188249999999,0x55,,
37.130232166666666,0x10,,
37.131276083333333,0x25,,
37.132320000000000,0x06,,
37.133363916666667,0x04,,
37.134407833333334,0x02,,
37.135451750000001,0x00,,
37.136495666666669,0x00,,
37.137539583333336,0x00,,
37.138583500000003,0x00,,
37.139627416666670,0x00,,
37.140671333333330,0x02,,
37.141715249999997,0x00,,
37.142759249999997,0x00,,
37.143803166666665,0x18,,
37.144847083333332,0x00,,
37.145890999999999,0x2C,,
37.146934916666666,0x70,,
39.508465833333332,0x55,,
39.509508166666670,0x01,,
39.510550416666668,0x0A,,
39.511592749999998,0x00,,
39.512635083333336,0xFE,,
39.513677333333334,0x10,,
39.514719583333331,0x21,,
39.515970333333335,0xC0,,
39.517012666666666,0x00,,
39.518054916666664,0x03,,
39.519097250000002,0x00,,
39.520139499999999,0x02,,
39.521181833333330,0x30,,
39.522224083333334,0x02,,
39.523266416666665,0x39,,
39.524308666666670,0xA5,,
39.530838666666668,0x01,,
39.531882833333334,0x07,,
39.532926750000001,0x00,,
39.533970666666669,0x10,,
39.535014583333336,0x21,,
39.536058500000003,0xFE,,
39.537102416666670,0x90,,
39.538146333333330,0x00,,
39.539190249999997,0x03,,
39.540234166666664,0x00,,
39.541278083333331,0x10,,
39.542322083333332,0x25,,
39.543365999999999,0xF5,,
40.249013166666664,0x55,,
40.250055416666669,0x01,,
40.251097750000000,0x0C,,
40.252139999999997,0x00,,
40.253182333333335,0xFE,,
40.254224583333333,0x10,,
40.255371166666670,0x21,,
40.256413416666668,0xC0,,
40.257455749999998,0x00,,
40.258498000000003,0x04,,
40.259540250000001,0x00,,
40.260582583333331,0x04,,
40.261624833333336,0x30,,
40.262667166666667,0x10,,
40.263709416666664,0x21,,
40.264751750000002,0x00,,
40.266002416666666,0x00,,
40.267044749999997,0xDC,,
40.268087083333334,0xEB,,
40.277035249999997,0x01,,
40.278079416666664,0x07,,
40.279123333333331,0x00,,
40.280167249999998,0x10,,
40.281211166666665,0x21,,
40.282255083333332,0xFE,,
40.283299000000000,0x90,,
40.284343000000000,0x00,,
40.285386916666667,0x04,,
40.286430833333334,0x00,,
40.287474750000001,0x07,,
40.288518666666668,0xC5,,
40.296020416666664,0x55,,
40.297062750000002,0x01,,
40.298313499999999,0x0A,,
40.299355749999997,0x00,,
40.300398083333334,0xFE,,
40.301440333333332,0x10,,
40.302482666666670,0x21,,
40.303524916666667,0xC2,,
40.304567249999998,0x00,,
40.305713750000002,0x10,,
40.307068749999999,0x25,,
40.308110999999997,0x00,,
40.309153333333335,0x02,,
40.310195499999999,0x50,,
40.311237916666670,0x0B,,
40.312280166666667,0x7A,,
40.313322499999998,0x63,,
40.320671249999997,0x01,,
40.321715416666663,0x12,,
40.322759333333330,0x00,,
40.323803249999997,0x10,,
40.324847166666665,0x21,,
40.325891083333332,0xFE,,
40.326935083333332,0x86,,
40.327978999999999,0x00,,
40.329022916666666,0x10,,
40.330066833333333,0x25,,
40.331110750000001,0x00,,
40.332154666666668,0x0A,,
40.333198583333335,0x50,,
40.334242500000002,0x0B,,
40.335286416666669,0x00,,
40.336330333333336,0x00,,
40.337374250000003,0x00,,
40.338418166666663,0x04,,
40.339462166666664,0x00,,
40.340506083333331,0x00,,
40.341549999999998,0x00,,
40.342593916666665,0x00,,
40.343637833333332,0x3B,,
40.344681749999999,0xBE,,
40.353763333333333,0x55,,
40.354805583333331,0x01,,
40.355952166666668,0x0C,,
40.357307166666665,0x00,,
40.358349416666670,0xFE,,
40.359391750000000,0x10,,
40.360433999999998,0x21,,
40.361476250000003,0xC0,,
40.362518583333333,0x00,,
40.363560833333331,0x06,,
40.364603166666669,0x00,,
40.365749666666666,0x04,,
40.367104583333337,0x30,,
40.368146916666667,0x00,,
40.369189249999998,0x00,,
40.370231500000003,0x00,,
40.371273833333333,0xAE,,
40.372316083333331,0xEB,,
40.380174916666668,0x01,,
40.381219083333335,0x07,,
40.382263000000002,0x00,,
40.383306916666669,0x10,,
40.384350833333336,0x21,,
40.385394750000003,0xFE,,
40.386438666666663,0x90,,
40.387482583333330,0x00,,
40.388526499999998,0x06,,
40.389570499999998,0x00,,
40.390614416666665,0x06,,
40.391658333333332,0xA5,,
40.399102999999997,0x55,,
40.400145250000001,0x01,,
40.401187583333332,0x0A,,
40.402229833333337,0x00,,
40.403480583333334,0xFE,,
40.404522916666664,0x10,,
40.405773666666668,0x21,,
40.407128583333332,0xC2,,
40.408170916666670,0x00,,
40.409213166666667,0x07,,
40.410255499999998,0x00,,
40.411297750000003,0x02,,
40.412340083333333,0x50,,
40.413382333333331,0x0B,,
40.414424666666669,0x03,,
40.415571166666666,0xA3,,
40.421305500000003,0x01,,
40.422349666666669,0x12,,
40.423393583333336,0x00,,
40.424437500000003,0x10,,
40.425481416666663,0x21,,
40.426525333333331,0xFE,,
40.427569249999998,0x86,,
40.428613166666665,0x00,,
40.429657166666665,0x07,,
40.430701083333332,0x00,,
40.431744999999999,0x0A,,
40.432788916666667,0x50,,
40.433832833333334,0x0B,,
40.434876750000001,0x00,,
40.435920666666668,0x00,,
40.436964583333335,0x00,,
40.438008500000002,0x00,,
40.439052416666669,0x20,,
40.440096333333337,0x04,,
40.441140249999997,0x00,,
40.442184249999997,0x10,,
40.443228166666664,0x30,,
40.444272083333331,0x86,,
40.445315999999998,0xF1,,
40.453927416666666,0x55,,
40.454969583333330,0x01,,
40.456116250000001,0x0C,,
40.457158499999998,0x00,,
40.458200833333336,0xFE,,
40.459243083333334,0x10,,
40.460285416666665,0x21,,
40.461327666666669,0xC0,,
40.462370000000000,0x00,,
40.463412249999998,0x08,,
40.464454583333335,0x00,,
40.465601083333333,0x04,,
40.466643416666663,0x30,,
40.467685666666668,0x10,,
40.468727999999999,0x21,,
40.469770250000003,0x00,,
40.470812500000001,0x10,,
40.471854833333332,0x21,,
40.472897083333336,0xD1,,
40.473939416666667,0x2B,,
40.479973999999999,0x01,,
40.481018166666665,0x07,,
40.482062083333332,0x00,,
40.483105999999999,0x10,,
40.484149916666667,0x21,,
40.485193833333334,0xFE,,
40.486237750000001,0x90,,
40.487281750000001,0x00,,
40.488325666666668,0x08,,
40.489369583333335,0x00,,
40.490413500000003,0x02,,
40.491457416666670,0xC5,,
40.498954416666663,0x55,,
40.499996666666668,0x01,,
